country	syear	switch	season
Argentina	2024	RSVA->RSVB	2024
Belgium	2007	RSVB->RSVA	2007-2008
Belgium	2008	RSVA->RSVB	2008-2009
China	2008	RSVA->RSVB	2008-2009
China	2010	RSVB->RSVA	2010-2011
China	2021	RSVB->RSVA	2021-2022
Cuba	2010	RSVA->RSVB	2010
Germany	2007	RSVA->RSVB	2007-2008
Ghana	2014	RSVB->RSVA	2014
Ghana	2015	RSVA->RSVB	2015
Iraq	2022	RSVA->RSVB	2022-2023
Jordan	2012	RSVA->RSVB	2012-2013
Kenya	2003	RSVA->RSVB	2003
Kenya	2006	RSVB->RSVA	2006
Kenya	2018	RSVB->RSVA	2018
Kenya	2019	RSVA->RSVB	2019
Kenya	2023	RSVA->RSVB	2023
Kuwait	2022	RSVA->RSVB	2022-2023
Myanmar	2017	RSVA->RSVB	2017
Netherlands	2017	RSVA->RSVB	2017-2018
New Zealand	2015	RSVB->RSVA	2015
Peru	2011	RSVA->RSVB	2011
Senegal	2013	RSVB->RSVA	2013
South Korea	2013	RSVA->RSVB	2013-2014
South Korea	2014	RSVB->RSVA	2014-2015
Thailand	2009	RSVA->RSVB	2009
Thailand	2013	RSVA->RSVB	2013
Thailand	2018	RSVB->RSVA	2018
USA	2020	RSVA->RSVB	2020-2021
USA	2022	RSVB->RSVA	2022-2023
Zambia	2020	RSVA->RSVB	2020
Zambia	2022	RSVB->RSVA	2022
